Time resolution is 1 ps
Time = 0 | clk = 0 | reset = 0 | up_down = 1 | count = 0000 | ssd_out = 1000000
Time = 5000 | clk = 1 | reset = 0 | up_down = 1 | count = 0001 | ssd_out = 1111001
Time = 10000 | clk = 0 | reset = 1 | up_down = 1 | count = 0000 | ssd_out = 1000000
Time = 15000 | clk = 1 | reset = 1 | up_down = 1 | count = 0000 | ssd_out = 1000000
Time = 20000 | clk = 0 | reset = 0 | up_down = 1 | count = 0000 | ssd_out = 1000000
Time = 25000 | clk = 1 | reset = 0 | up_down = 1 | count = 0001 | ssd_out = 1111001
Time = 30000 | clk = 0 | reset = 0 | up_down = 1 | count = 0001 | ssd_out = 1111001
Time = 35000 | clk = 1 | reset = 0 | up_down = 1 | count = 0010 | ssd_out = 0100100
Time = 40000 | clk = 0 | reset = 0 | up_down = 1 | count = 0010 | ssd_out = 0100100
Time = 45000 | clk = 1 | reset = 0 | up_down = 1 | count = 0011 | ssd_out = 0110000
Time = 50000 | clk = 0 | reset = 0 | up_down = 1 | count = 0011 | ssd_out = 0110000
Time = 55000 | clk = 1 | reset = 0 | up_down = 1 | count = 0100 | ssd_out = 0011001
Time = 60000 | clk = 0 | reset = 0 | up_down = 1 | count = 0100 | ssd_out = 0011001
Time = 65000 | clk = 1 | reset = 0 | up_down = 1 | count = 0101 | ssd_out = 0010010
Time = 70000 | clk = 0 | reset = 0 | up_down = 1 | count = 0101 | ssd_out = 0010010
Time = 75000 | clk = 1 | reset = 0 | up_down = 1 | count = 0110 | ssd_out = 0000010
Time = 80000 | clk = 0 | reset = 0 | up_down = 1 | count = 0110 | ssd_out = 0000010
Time = 85000 | clk = 1 | reset = 0 | up_down = 1 | count = 0111 | ssd_out = 1111000
Time = 90000 | clk = 0 | reset = 0 | up_down = 1 | count = 0111 | ssd_out = 1111000
Time = 95000 | clk = 1 | reset = 0 | up_down = 1 | count = 1000 | ssd_out = 0000000
Time = 100000 | clk = 0 | reset = 0 | up_down = 1 | count = 1000 | ssd_out = 0000000
Time = 105000 | clk = 1 | reset = 0 | up_down = 1 | count = 1001 | ssd_out = 0010000
Time = 110000 | clk = 0 | reset = 0 | up_down = 1 | count = 1001 | ssd_out = 0010000
Time = 115000 | clk = 1 | reset = 0 | up_down = 1 | count = 1010 | ssd_out = 0001000
Time = 120000 | clk = 0 | reset = 0 | up_down = 1 | count = 1010 | ssd_out = 0001000
Time = 125000 | clk = 1 | reset = 0 | up_down = 1 | count = 1011 | ssd_out = 0000011
Time = 130000 | clk = 0 | reset = 0 | up_down = 0 | count = 1011 | ssd_out = 0000011
Time = 135000 | clk = 1 | reset = 0 | up_down = 0 | count = 1010 | ssd_out = 0001000
Time = 140000 | clk = 0 | reset = 0 | up_down = 0 | count = 1010 | ssd_out = 0001000
Time = 145000 | clk = 1 | reset = 0 | up_down = 0 | count = 1001 | ssd_out = 0010000
